"","PLAYER","AGE","POS","DATE","LENGTH","VALUE","CAP HIT","Nat","Ht","Wt","DftYr","DftRd","Ovrl","GP","+/-","E+/-","PIM","OTG","GWG","NPD","xGF","xGA","Grit","1st","2nd","3rd","LY Salary","LY Cap Hit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOI/GP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI"
"1","Brayden McNabb",26,"D","29-Nov-17",4,"$10,000,000","$2,500,000","CAN",76,212,2009,3,66,49,1,9.2,54,0,0,-7.5,33.5,24.5,224,0,0,0,"$1,600,000.00","$1,700,000.00",2,2,0,4,"22.20%","4.70%",979,"66.9","44","60.30%","9.70%",2.5,6,122,73,46,6,5,"11",0,106,85,30,9,48,0,"0.00%",785,516,565,369,96,79,0,0,0,0,259,0.1,38,12.7,"75.00%","-6.00%",0,0,0,1666,0.61,11.8,66.9,"15.00%","-2.20%",0,5,164,4,27,31,2503.8,20.8,0,6,6,120.9,30,35,201.6
"2","Roman Polak",31,"D","23-Oct-17",1,"$1,100,000","$1,100,000","CZE",74,235,2004,6,180,75,10,-2.3,65,0,1,-13.5,54,75.4,433,0,0,1,"$2,250,000.00","$2,250,000.00",4,7,3,11,"27.20%","7.60%",1019,"55.3","60.2","47.90%","-3.00%",2.5,3,157,95,59,2,5,"7",76.2,205,118,42,13,91,0,"0.00%",1029,1120,786,837,174,157,0,0,0,0,54,0.05,9.3,0,"100.00%","16.00%",0,0,0,13061,2.82,13,105.7,"10.90%","1.80%",3,37,207,10,28,38,3358.6,-12.8,0,0,0,9.3,104,79,566.2
"3","Derek Forbort",25,"D","19-Oct-17",2,"$5,050,000","$2,525,000","USA",76,216,2010,1,15,82,8,4.1,54,0,0,1.3,62.9,75.8,395,0,1,1,"$650,000.00","$650,000.00",2,15,6,17,"36.20%","7.10%",1002,"53.5","50.3","51.60%","-0.10%",3.2,2,203,136,95,10,11,"21",163,152,140,64,8,125,1,"100.00%",1273,1202,938,892,193,193,0,0,0,0,745,0.21,56,17.5,"76.20%","-11.80%",0,1,1,10752,2.19,11.3,87.3,"11.50%","-2.70%",1,31,14,1,1,2,145,28.1,0,0,0,0,0,0,9.9
"4","Michael Matheson",23,"D","7-Oct-17",8,"$39,000,000","$4,875,000","CAN",74,192,2012,1,23,81,-5,-6.3,36,0,0,-1.5,61.2,81.8,223,1,0,1,"$925,000.00","$925,000.00",7,8,4,15,"32.60%","6.60%",990,"53.5","54.5","49.50%","1.60%",6.7,7,275,215,154,1,10,"11",107.7,53,77,52,40,92,0,"0.00%",1242,1264,967,966,148,174,0,1,1,1,2465,0.6,80.7,12.4,"86.70%","-3.80%",0,1,1,12621,2.55,15.5,87.1,"15.10%","-2.10%",3,20,3,0,0,0,48.3,7.5,0,0,0,0,0,0,0.6
"5","Mark Borowiecki",28,"D","5-Oct-17",2,"$2,400,000","$1,200,000","CAN",73,216,2008,5,139,70,-3,3,154,0,0,-19.4,34.6,37.4,622,0,0,0,"$1,100,000.00","$1,100,000.00",1,2,2,3,"13.60%","5.10%",990,"53.5","56.7","48.60%","0.50%",1.9,3,115,74,50,4,11,"15",75.2,351,134,14,5,80,1,"100.00%",822,874,584,629,114,99,0,0,0,0,71,0.04,0,0,"0.00%","-84.30%",0,0,0,2997,0.76,20.5,86.7,"19.10%","7.40%",1,10,139,3,11,14,1773.8,-22.1,0,0,0,1.9,70,51,310.7
"6","Josh Manson",25,"D","4-Oct-17",4,"$16,400,000","$4,100,000","CAN",75,215,2011,6,160,82,14,13.1,82,0,1,-6.5,68.8,75.4,394,1,1,1,"$825,000.00","$825,000.00",4,11,3,15,"30.90%","7.40%",995,"56","48.5","53.60%","6.30%",4.7,8,171,121,80,4,11,"15",75.2,176,119,49,18,66,0,"0.00%",1214,1050,925,783,209,162,0,0,0,0,369,0.11,39.4,5.9,"87.00%","-1.20%",1,1,2,11527,2.35,13.1,99.1,"11.60%","-2.80%",4,11,99,5,13,18,1601,23.2,0,0,0,8.2,24,22,186.4
"7","Cody Franson",30,"D","4-Oct-17",1,"$1,000,000","$1,000,000","CAN",77,224,2005,3,79,68,-5,4.5,34,0,0,-7.2,53.1,48.8,189,0,0,0,"$2,650,000.00","$3,325,000.00",2,15,5,17,"45.90%","6.60%",990,"53.5","51.9","50.70%","4.50%",2.8,2,170,116,82,2,9,"11",131.5,84,45,24,12,64,0,"0.00%",971,942,755,717,133,128,1,1,1,2,5955,1.54,78.5,10.2,"88.50%","0.10%",0,0,0,3427,0.88,5.9,91.4,"6.10%","-2.40%",2,2,216,9,35,44,3280.3,-10.1,7,35,42,537.2,38,44,292.9
"8","Nikita Zadorov",22,"D","15-Sep-17",2,"$4,300,000","$2,150,000","RUS",77,230,2013,1,16,56,-20,-12.8,73,0,0,-8.1,32,51.7,298,0,0,0,"$832,500.00","$894,167.00",0,8,6,8,"36.40%","5.70%",966,"50.3","55.4","47.60%","1.20%",2.4,1,136,87,52,1,4,"5",202.4,141,43,18,12,49,0,"0.00%",748,828,556,624,69,113,0,2,1,2,2140,0.7,72.5,6,"92.40%","6.60%",0,0,0,7186,2.17,12.7,96.5,"11.70%","-1.90%",0,18,89,2,11,13,1400.5,-48.1,2,3,5,89.6,1,5,46.9
"9","Petteri Lindbohm",23,"D","11-Sep-17",1,"$650,000","$650,000","FIN",75,198,2012,6,176,7,-4,-0.1,4,0,0,-0.6,3.9,4,19,0,0,0,"$645,000.00","$636,667.00",0,0,0,0,"0.00%","3.40%",901,"64.6","58.6","52.50%","6.30%",0.3,0,19,12,10,0,1,"1",0,9,7,1,1,5,0,"0.00%",97,87,75,62,11,13,0,0,0,0,2,0,0,3000,"0.00%","0.00%",0,0,0,73,0.25,35,35,"50.00%","42.30%",0,0,33,2,1,3,480.6,9.4,0,0,0,0.5,2,0,10.1
"10","Damon Severson",23,"D","11-Sep-17",6,"$25,000,000","$4,166,666","CAN",74,205,2012,2,60,80,-31,-10.2,58,0,1,-6,76.4,65.4,212,1,0,3,"$600,000.00","$605,833.00",3,15,8,18,"50.70%","5.60%",982,"51.8","50.8","50.50%","6.00%",4.8,9,206,143,94,6,6,"12",265.4,68,55,45,18,64,0,"0.00%",1177,1158,903,905,168,178,0,13,4,13,10887,2.27,91.6,12.3,"88.20%","5.40%",0,0,0,1514,0.36,0,67.7,"0.00%","-7.10%",1,1,123,6,20,26,2059.9,-1.2,0,12,12,213.8,3,2,61.1
"11","Robbie Russo",24,"D","5-Sep-17",2,"$1,300,000","$650,000","USA",72,189,2011,4,95,19,2,-0.4,2,0,0,-0.7,8.2,10.9,39,0,0,0,"$692,500.00","$680,000.00",0,0,0,0,"0.00%","6.00%",1008,"52.3","47.7","52.30%","6.50%",0.5,1,38,29,16,0,2,"2",0,22,46,11,0,8,0,"0.00%",241,222,184,175,27,32,0,0,0,0,151,0.1,32.9,11,"75.00%","-25.00%",0,0,0,1290,1.14,19.3,74.5,"20.60%","13.20%",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Tyler Wotherspoon",24,"D","5-Sep-17",1,"$650,000","$650,000","CAN",74,207,2011,2,57,4,-2,1,0,0,0,0.2,1.4,1.5,5,0,0,0,"$625,000.00","$625,000.00",0,0,0,0,"0.00%","0.00%",889,"44.7","51.7","46.40%","-3.70%",0.2,1,8,5,4,1,0,"1",0,3,4,4,1,2,0,"0.00%",33,38,28,28,3,4,0,0,0,0,0,0.1,0,0,"0.00%","-88.90%",0,0,0,0,0,0,0,"0.00%","0.00%",0,0,26,0,5,5,344.6,-19.8,0,0,0,0.2,2,1,16.4
"13","Brett Kulak",23,"D","28-Aug-17",1,"$650,000","$650,000","CAN",74,187,2012,4,105,21,-3,-0.4,12,0,0,-3.5,11.7,12.1,39,0,0,1,"$680,000.00","$656,667.00",0,3,2,3,"42.90%","5.40%",979,"53.9","53.2","50.30%","3.40%",1,1,51,29,18,1,4,"5",74.4,14,15,9,4,13,0,"0.00%",262,256,180,200,35,31,0,0,0,0,362,0.34,73.5,16.3,"81.80%","-5.70%",0,0,0,133,0.15,0,65,"0.00%","-17.60%",0,0,9,0,0,0,117.6,29.8,0,0,0,0.4,0,0,1.8
"14","Francois Beauchemin",37,"D","21-Aug-17",1,"$1,700,000","$1,000,000","CAN",73,208,1998,3,75,81,-14,-12,32,0,1,0,60.4,81.2,261,1,0,0,"$4,500,000.00","$4,500,000.00",5,10,7,15,"34.90%","6.60%",976,"53.9","58.5","48.00%","1.50%",4.3,6,240,161,110,4,10,"14",199.3,66,42,38,25,112,0,"0.00%",1235,1335,920,990,151,165,0,3,1,3,5202,1.11,65.1,11.9,"84.50%","-3.20%",0,0,0,14746,3.01,10.9,91.2,"10.70%","-3.80%",3,35,216,18,36,54,3977.1,-16.4,5,11,16,375.7,114,33,648.8
"15","Nate Schmidt",26,"D","5-Aug-17",2,"$4,450,000","$2,225,000","USA",73,194,2009,10,266,60,22,10.1,16,0,0,-2.6,40.8,36.2,104,0,0,1,"$875,000.00","$812,500.00",3,13,3,16,"38.10%","10.00%",1044,"57","49.6","53.50%","5.40%",3.3,7,135,88,57,1,3,"4",58.7,49,68,42,35,34,0,"0.00%",822,715,592,539,134,88,0,0,0,0,572,0.17,85.2,11.3,"88.30%","0.10%",0,1,1,2561,0.76,14.2,77.9,"15.40%","4.50%",1,3,140,5,21,26,2209,11.5,0,0,0,10.1,16,3,108.4
"16","Jamie Oleksiak",24,"D","4-Aug-17",1,"$964,688","$964,688","CAN",79,255,2011,1,14,41,-4,-1.4,37,0,1,-3,26.5,32.3,144,1,1,0,"$918,750.00","$918,750.00",5,1,0,6,"30.00%","6.70%",981,"56.3","58.2","49.20%","-0.60%",1.2,2,63,42,30,0,1,"1",0,51,51,24,13,43,0,"0.00%",562,576,420,408,86,90,0,0,0,0,302,0.15,32,7.5,"81.10%","-4.00%",0,1,1,3022,1.23,16.1,96.1,"14.40%","1.30%",0,9,62,1,9,10,770.5,-0.8,0,0,0,8.9,17,6,67.6
"17","Nate Prosser",31,"D","3-Aug-17",2,"$1,300,000","$650,000","USA",74,201,2004,10,266,39,0,1.1,12,0,0,-1.6,17.2,18.5,106,0,1,0,"$650,000.00","$625,000.00",2,4,1,6,"33.30%","8.50%",1007,"50.6","59.7","45.90%","-1.60%",1,0,51,38,20,0,2,"2",22,30,72,9,2,56,0,"0.00%",399,469,309,324,55,48,0,1,0,1,24,0.06,28.2,0,"100.00%","16.20%",0,0,0,1382,0.6,6.3,68.1,"8.50%","-2.40%",0,7,170,4,11,15,1912.1,-23.3,0,1,1,3.8,44,7,271.4
"18","Brett Pesce",22,"D","1-Aug-17",6,"$24,150,000","$4,025,000","USA",75,200,2013,3,66,82,23,9.8,20,0,0,11.8,76.7,70.9,225,0,1,0,"$792,500.00","$809,167.00",2,16,7,18,"27.10%","9.30%",1009,"57.8","49","54.10%","5.80%",3.6,3,232,139,91,4,10,"14",146.2,50,123,30,44,116,0,"0.00%",1411,1198,1018,890,227,181,0,2,0,2,3044,0.64,86.9,10.1,"89.50%","-4.70%",0,0,0,10647,2.11,13.3,76.6,"14.80%","-6.10%",6,21,69,3,8,11,1099.6,1.1,1,4,5,64.4,15,1,71
"19","Nathan Beaulieu",24,"D","31-Jul-17",2,"$4,800,000","$2,400,000","CAN",74,205,2011,1,17,74,8,0,44,0,1,3.7,65.9,62.5,213,1,0,2,"$1,000,000.00","$1,000,000.00",2,14,6,16,"29.90%","8.90%",1021,"57.6","56.2","50.60%","0.80%",3.5,3,182,120,89,7,11,"18",131.7,62,164,68,11,94,0,"0.00%",1174,1145,836,822,176,169,2,10,6,12,7349,1.7,81.3,18,"81.90%","-3.70%",0,0,0,4317,1.01,12.6,71.6,"15.00%","5.30%",0,5,145,2,23,25,2121.4,-9.5,1,4,5,147.1,10,2,42.1
"20","Mark Streit",39,"D","25-Jul-17",1,"$1,000,000","$700,000","CHE",71,191,2004,9,262,68,-12,3.1,28,0,2,0.2,66.2,54,158,0,2,0,"$4,000,000.00","$5,250,000.00",5,9,2,14,"44.40%","5.70%",976,"59.7","55.6","51.80%","2.60%",3.5,7,157,104,77,4,2,"6",66,35,86,35,11,84,0,"0.00%",1042,972,759,696,144,155,1,12,3,13,9340,2.25,90.6,10.7,"89.50%","0.30%",0,0,0,2271,0.6,11.5,82.3,"12.20%","2.70%",1,2,225,15,51,66,3911.7,-0.8,10,43,53,685.7,11,1,137
"21","Mirco Mueller",22,"D","25-Jul-17",2,"$1,700,000","$850,000","CHE",75,210,2013,1,18,4,2,-0.1,0,0,0,2.2,1.4,1.5,5,0,0,0,"$832,500.00","$894,167.00",1,1,0,2,"66.70%","17.60%",1121,"55.2","58.2","48.70%","-1.80%",0.1,0,6,3,3,0,0,"0",0,2,2,2,2,3,0,"0.00%",35,36,24,26,5,8,0,0,0,0,0,0.08,0,0,"0.00%","-78.90%",0,0,0,56,0.28,0,0,"0.00%","-18.20%",0,0,50,1,3,4,733.8,3,0,0,0,13.9,3,2,29.2
"22","Adam Pelech",22,"D","24-Jul-17",4,"$6,400,000","$1,600,000","CAN",75,210,2012,3,65,44,-5,-10.4,6,0,0,3.4,22.2,35.5,147,0,0,0,"$925,000.00","$854,333.00",3,7,1,10,"37.70%","8.70%",997,"49","56.2","46.60%","-2.40%",1.3,1,88,56,39,1,5,"6",21.4,71,62,26,17,53,0,"0.00%",568,646,406,494,60,105,0,0,0,0,89,0.07,72,19.4,"78.80%","-12.40%",0,0,0,2580,1.01,9.4,90.9,"9.30%","-3.70%",0,13,9,0,2,2,129.3,-15.8,0,0,0,5,3,1,15.3
"23","Brian Dumoulin",25,"D","24-Jul-17",6,"$24,600,000","$4,100,000","USA",76,207,2009,2,51,70,0,2.2,14,0,0,5.5,65.3,71.5,226,0,0,1,"$800,000.00","$800,000.00",1,10,4,11,"22.70%","7.40%",989,"56","53.3","51.30%","1.50%",2.8,5,162,91,68,8,5,"13",94.5,104,171,32,22,82,0,"0.00%",1143,1088,861,807,212,198,0,4,2,4,2172,0.55,71.2,12.2,"85.30%","4.70%",0,0,0,7690,1.88,13.1,85.1,"13.40%","0.50%",2,14,93,1,17,18,1483.3,-19.1,0,0,0,51.1,11,4,110.7
"24","Johnny Oduya",35,"D","24-Jul-17",1,"$2,250,000","$1,000,000","SWE",72,195,2001,7,221,52,-4,-3.3,18,0,0,-0.9,31.5,49.9,170,0,0,0,"$3,750,000.00","$3,750,000.00",2,7,3,9,"34.60%","7.30%",980,"53.5","59.8","47.20%","-2.30%",2,5,113,66,35,5,4,"9",83.1,27,59,30,12,90,0,"0.00%",721,800,522,526,96,101,0,0,0,0,424,0.17,30.3,15.2,"66.70%","-13.40%",0,0,0,7243,2.23,13.2,117.1,"10.10%","1.80%",2,28,235,8,36,44,4141.9,10.2,0,0,0,31.3,75,22,519.5
"25","Colton Parayko",24,"D","20-Jul-17",5,"$27,500,000","$5,500,000","CAN",78,226,2012,3,86,81,7,1.7,32,0,2,1.6,65.8,66,229,0,4,1,"$925,000.00","$858,750.00",0,24,13,24,"44.40%","8.40%",1008,"52.8","50.7","51.00%","4.30%",5.3,8,290,188,137,4,11,"15",288,69,146,31,32,88,0,"0.00%",1196,1145,885,847,151,150,4,6,3,10,8508,1.77,91.4,9.4,"90.70%","3.40%",0,1,1,10262,2.11,11.4,77.7,"12.80%","3.30%",4,23,79,6,20,26,1277.1,11,3,4,7,126.8,7,3,70.9
"26","Duncan Siemens",23,"D","18-Jul-17",1,"$750,000","$750,000","CAN",75,210,2011,1,11,3,-2,-0.5,2,0,0,-0.8,0.9,1.4,13,0,0,0,"$874,125.00","$874,125.00",0,0,0,0,"0.00%","0.00%",882,"49.5","57","46.50%","-5.90%",0.1,0,4,3,2,0,0,"0",0,9,0,2,0,1,0,"0.00%",28,32,19,26,2,5,0,0,0,0,0,0,0,0,"0.00%","-100.00%",0,0,0,193,1.08,18.3,55,"25.00%","-19.40%",0,0,1,0,0,0,14,-9.8,0,0,0,0,0,0,0
"27","Dillon Simpson",24,"D","15-Jul-17",1,"$675,000","$675,000","CAN",74,194,2011,4,92,3,0,0,2,0,0,-0.8,0.8,1,7,0,0,0,"$925,000.00","$836,667.00",0,0,0,0,"0.00%","7.70%",994,"45.5","49.6","47.80%","-1.00%",0.1,0,5,3,2,0,0,"0",0,3,3,1,0,2,0,"0.00%",25,27,16,19,2,4,0,0,0,0,0,0,0,0,"0.00%","0.00%",0,0,0,0,0.2,0,0,"0.00%","-18.20%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Kevin Gravel",25,"D","14-Jul-17",1,"$650,000","$650,000","USA",76,212,2010,5,148,49,3,4.2,6,0,0,6.7,28.4,20.8,144,0,0,1,"$667,500.00","$667,500.00",0,5,3,5,"23.80%","6.70%",1005,"59","48.5","54.90%","5.50%",1.9,0,102,76,46,1,7,"8",87.1,71,102,23,2,60,0,"0.00%",611,500,457,349,73,56,1,1,0,2,2832,1.01,85.6,9.6,"89.90%","-0.70%",0,0,0,1512,0.55,11,60.2,"15.40%","-3.00%",0,4,5,0,0,0,52.5,1.1,0,0,0,3.4,0,0,1.6
